exp_name,layer_count,layers,steer_direction,first_half_matches_direction,steer_alpha,first_half_scale,second_half_scale,first_half_positive,second_half_negative,second_half_perplexity,first_half_positive_norm,second_half_negative_norm,inverse_ppl_norm,score_avg,score_mul
pattern_l25_a1.6_fh1.0_sh2.5,1,25,positive,True,1.6,1.0,2.5,0.34362658361686044,0.38637545724399386,1588.6002425837517,0.7784777801408189,0.5900706202745565,0.9622902389547479,0.7769462131233743,0.4420346289237596
pattern_l25_a2.0_fh1.0_sh3.0,1,25,positive,True,2.0,1.0,3.0,0.3539191932976246,0.3424074759008363,109.0182056415081,0.8151892614527524,0.5163683275411257,0.997467188445341,0.7763415924797398,0.419871759149504
pattern_l25-31-16_a1.2_fh1.0_sh3.0,3,"25,31,16",positive,True,1.2,1.0,3.0,0.3586265455186367,0.3421676971763372,1177.3898310244083,0.8319793543883998,0.5159663931969867,0.9720667349625821,0.7733374941826562,0.41728237941399104
pattern_l25-31-16_a2.4_fh0.5_sh1.5,3,"25,31,16",positive,True,2.4,0.5,1.5,0.3586265455186367,0.3421676971763372,1177.3898310244083,0.8319793543883998,0.5159663931969867,0.9720667349625821,0.7733374941826562,0.41728237941399104
pattern_l25-31-16-24-26_a1.6_fh0.5_sh2.5,5,"25,31,16,24,26",positive,True,1.6,0.5,2.5,0.29397353805601595,0.4589000642299652,nan,0.6013762567444525,0.7116415828515984,1.0,0.7710059465320169,0.4279643512389914
pattern_l25_a1.6_fh1.0_sh3.0,1,25,positive,True,1.6,1.0,3.0,0.33335771672427655,0.357343952730007,152.78655612707138,0.7418509841469543,0.5414059243113255,0.9964265992682116,0.7598945025754972,0.40020728810641965
pattern_l25_a2.0_fh1.0_sh2.0,1,25,positive,True,2.0,1.0,2.0,0.3627434730890673,0.2835775685426779,69.32194583415985,0.8466635320898925,0.4177534054742892,0.998410963978798,0.7542759671809932,0.3531345372250647
pattern_l25_a2.0_fh1.0_sh2.5,1,25,positive,True,2.0,1.0,2.5,0.36682987258711364,0.3421389475092292,5012.01806671381,0.8612388228527387,0.5159182009371545,0.8808987426552288,0.7526852554817074,0.39140866720699125
pattern_l25_a2.4_fh1.0_sh2.0,1,25,positive,True,2.4,1.0,2.0,0.36916567868494893,0.2652457733484334,9.10943738102913,0.8695701309046936,0.38702433185158647,0.9998425117508534,0.7521456581690446,0.33649179706034565
pattern_l25-31-16_a1.6_fh0.5_sh2.0,3,"25,31,16",positive,True,1.6,0.5,2.0,0.31615077652037143,0.3764794817508664,62.70470029354095,0.680477602339638,0.5734822743829195,0.9985682884841903,0.7508427217355828,0.38968312931571697
pattern_l25_a2.4_fh1.0_sh1.5,1,25,positive,True,2.4,1.0,1.5,0.379909737482667,0.22790850458899514,66.74528359174728,0.9078918322030428,0.32443691646634154,0.9984722239260619,0.7436003241984821,0.2941036145418359
pattern_l25_a1.2_fh1.0_sh3.0,1,25,positive,True,1.2,1.0,3.0,0.29092950209975244,0.4072324270522222,10.07267022371292,0.5905188481194978,0.6250325732089183,0.9998196109638684,0.7384570107640949,0.36902693474505244
pattern_l25_a2.4_fh0.5_sh1.5,1,25,positive,True,2.4,0.5,1.5,0.29092950209975244,0.4072324270522222,10.07267022371292,0.5905188481194978,0.6250325732089183,0.9998196109638684,0.7384570107640949,0.36902693474505244
pattern_l25-31-16_a1.6_fh1.0_sh1.0,3,"25,31,16",positive,True,1.6,1.0,1.0,0.40573363196104767,0.16124408113071695,5.98844103217125,1.0,0.212689215013315,0.9999167131997645,0.7375353094043599,0.21267150080915195
pattern_l25-31-16_a2.0_fh0.5_sh1.0,3,"25,31,16",positive,True,2.0,0.5,1.0,0.3217196134237747,0.33848049003630876,10.321949617862701,0.7003404221928549,0.509785631385745,0.9998136843653844,0.7366465793146615,0.35695696525549137
pattern_l25-31-16_a1.6_fh0.5_sh2.5,3,"25,31,16",positive,True,1.6,0.5,2.5,0.3222256946773268,0.33574404299259186,194.9605505168438,0.7021455030283615,0.5051986020315548,0.9954239157850223,0.7342560069483128,0.3530996845677827
pattern_l25-31-16-24-26_a2.0_fh1.0_sh1.0,5,"25,31,16,24,26",positive,True,2.0,1.0,1.0,0.3480160647444427,0.28013067053630947,162.03129841804505,0.7941340966030552,0.4119754671171719,0.9962068062290266,0.7341054566497512,0.32592276984470697
pattern_l25-31-16-24-26_a1.6_fh1.0_sh3.0,5,"25,31,16,24,26",positive,True,1.6,1.0,3.0,0.2612266137450934,0.4587301248311996,nan,0.4845751599234491,0.7113567182084616,1.0,0.7319772927106368,0.3447057954884852
pattern_l25_a2.0_fh1.0_sh1.0,1,25,positive,True,2.0,1.0,1.0,0.3853262464236468,0.18920815653982573,7.2719232833385465,0.9272113316235179,0.2595646095358932,0.999886198507646,0.7288873798890191,0.24064385850301026
pattern_l25-31-16_a2.0_fh0.5_sh2.0,3,"25,31,16",positive,True,2.0,0.5,2.0,0.3354605922452174,0.2952474150434136,152.96040947318076,0.7493514799184612,0.43731524153491325,0.996422465918237,0.7276963957905371,0.3265304554155576
pattern_l25_a2.4_fh0.5_sh2.5,1,25,positive,True,2.4,0.5,2.5,0.3049375462904573,0.3603223005402833,172.82914516210556,0.6404824694433386,0.5463984451291846,0.995950088250544,0.7276103342743557,0.3485413238873626
pattern_l25-31-16_a1.6_fh0.5_sh1.5,3,"25,31,16",positive,True,1.6,0.5,1.5,0.293302272791625,0.3826321601704694,12.622761952877045,0.5989820007711504,0.583795836482509,0.9997589827285198,0.7275122733273931,0.3495989184878532
pattern_l25-31-16_a1.2_fh0.5_sh2.5,3,"25,31,16",positive,True,1.2,0.5,2.5,0.29237655786797406,0.3808449525758624,19.35617838740349,0.5956801786702596,0.5807999905671578,0.9995988962690316,0.7253596885021496,0.3458322718769151
pattern_l25-31-16-24-26_a1.6_fh1.0_sh2.5,5,"25,31,16,24,26",positive,True,1.6,1.0,2.5,0.25275637259706857,0.4589000642299652,nan,0.45436366747810497,0.7116415828515984,1.0,0.7220017501099011,0.32334407951437594
pattern_l25_a1.6_fh0.5_sh2.5,1,25,positive,True,1.6,0.5,2.5,0.2864793541654944,0.38197066008578984,11.73307415008545,0.5746461464635536,0.5826869824620405,0.9997801349878199,0.7190377546378047,0.3347652097230568
pattern_l25_a2.4_fh0.5_sh2.0,1,25,positive,True,2.4,0.5,2.0,0.3016120238602161,0.3456806707754731,17.740379182100295,0.6286210603025278,0.5218550922152012,0.9996373117712564,0.7167044880963284,0.3279301218450682
pattern_l25_a2.0_fh0.5_sh3.0,1,25,positive,True,2.0,0.5,3.0,0.29696539856493476,0.35651235684752464,161.56413128733635,0.6120475669920719,0.5400119434804049,0.996217913091742,0.7160924745214062,0.32926296727807947
pattern_l25_a1.6_fh1.0_sh1.5,1,25,positive,True,1.6,1.0,1.5,0.3369968379661441,0.2662053214199841,15.062723753452302,0.7548309314689985,0.38863279534481054,0.99970097282378,0.7143882332125298,0.2932643346729061
pattern_l25-31-16_a1.6_fh1.0_sh2.5,3,"25,31,16",positive,True,1.6,1.0,2.5,0.35462601328268645,0.2511279829358682,1750.7533576524258,0.8177103333166738,0.36335907613708834,0.9584350610760671,0.7131681568432765,0.28477259389077675
pattern_l25-31-16_a1.2_fh0.5_sh3.0,3,"25,31,16",positive,True,1.2,0.5,3.0,0.2958916361629963,0.3529478620737791,319.44200342059133,0.6082176920065382,0.5340368809636388,0.9924643787860734,0.71157298391875,0.32236302894149027
pattern_l25_a1.2_fh1.0_sh2.5,1,25,positive,True,1.2,1.0,2.5,0.31753493431955576,0.29662563572637735,10.575743534564971,0.6854145896298963,0.4396255141725009,0.9998076504344728,0.7082825847456234,0.3012677815119389
pattern_l25_a1.6_fh0.5_sh2.0,1,25,positive,True,1.6,0.5,2.0,0.2800858692266047,0.3762661931151524,10.088330554962159,0.5518419879331049,0.5731247446309071,0.9998192386406936,0.7082619904015686,0.3162171282386784
pattern_l25_a1.2_fh0.5_sh3.0,1,25,positive,True,1.2,0.5,3.0,0.26558108815719605,0.4031055904505774,11.32355804681778,0.5001066151093929,0.6181148728736767,0.9997898712017781,0.7060037863949492,0.3090583811063585
pattern_l25-31-16_a2.4_fh1.0_sh3.0,3,"25,31,16",positive,True,2.4,1.0,3.0,0.2603010328486562,0.4397754518687725,2136.8557316589354,0.48127381586823437,0.6795835320701205,0.9492555067360496,0.7033709515581349,0.3104689734416185
pattern_l25-31-16-24-26_a2.4_fh1.0_sh1.0,5,"25,31,16,24,26",positive,True,2.4,1.0,1.0,0.370579993724823,0.17619328778237103,243.42012821674348,0.8746146824582767,0.2377481504275565,0.9942717930405426,0.7022115419754585,0.20674691106023288
pattern_l25_a2.0_fh0.5_sh1.5,1,25,positive,True,2.0,0.5,1.5,0.2985901032970287,0.32457569626392796,9.6013480758667,0.6178425324342325,0.48647741595935085,0.9998308166117977,0.701383588335127,0.30051558779991644
pattern_l25-31-16-24-26_a2.0_fh1.0_sh1.5,5,"25,31,16,24,26",positive,True,2.0,1.0,1.5,0.31892939686775207,0.2898404489085078,714.1747262191773,0.6903883316997985,0.4282516960024415,0.9830796385652023,0.7005732220891474,0.29065730032968556
